feature_pair,interaction_strength,order
cosHR x dTHdz_15m,0.022725014131358107,2
sinHR x dTHdz_15m,0.017940813166930674,2
T_2m x dTHdz_15m,0.016687000396743073,2
cosHR x T_2m,0.0041668318178516945,2
Tdew_2m x dTHdz_15m,0.004157363431370182,2
Spd_10m x dTHdz_15m,0.0024699888268838147,2
cosWD x dTHdz_15m,0.0022772905401678917,2
sinHR x cosHR,0.00174823863833005,2
sinHR x T_2m,0.0014986084825725791,2
cosHR x Tdew_2m,0.0011660402442138045,2
dTHdz_15m x S_15m,0.0011042590590342775,2
P_2m x dTHdz_15m,0.001062941341962666,2
T_2m x Spd_10m,0.0009766615171326546,2
cosHR x S_15m,0.0009591324051959102,2
cosHR x Spd_10m,0.000749294406673601,2
T_2m x S_15m,0.0007315206742544302,2
sinWD x dTHdz_15m,0.0006389913886032652,2
P_2m x T_2m,0.0005091576614298534,2
sinHR x P_2m,0.00045091526179899766,2
cosHR x cosWD,0.0004470406842898829,2
Spd_10m x S_15m,0.00044351552905159264,2
sinHR x Tdew_2m,0.0004213000485073298,2
T_2m x Tdew_2m,0.0003817918065146723,2
Tdew_2m x S_15m,0.000354075982909874,2
sinHR x cosWD,0.00034650707457618276,2
sinHR x Spd_10m,0.0003028909487341795,2
T_2m x cosWD,0.0002996961392294723,2
cosWD x S_15m,0.0002937023334791555,2
P_2m x Tdew_2m,0.000253885086010768,2
cosHR x sinWD,0.00022537521937576974,2
T_2m x sinWD,0.0001811853194355992,2
Tdew_2m x Spd_10m,0.00017837708654023571,2
Tdew_2m x cosWD,0.00013159883211776607,2
Spd_10m x cosWD,9.202175694600188e-05,2
Tdew_2m x sinWD,7.24756389469735e-05,2
P_2m x S_15m,6.732897609112429e-05,2
sinHR x S_15m,6.590704007886299e-05,2
Spd_10m x sinWD,4.522538276223349e-05,2
P_2m x Spd_10m,3.712588840940401e-05,2
sinWD x cosWD,3.526022370959574e-05,2
cosHR x P_2m,3.3560944909095484e-05,2
sinWD x S_15m,2.5656020757675807e-05,2
P_2m x sinWD,2.0902344063312093e-05,2
sinHR x sinWD,1.1936215038345031e-05,2
P_2m x cosWD,4.3602325552701694e-06,2
